,Currency,Rate,LOADINGDATA
0,US Dollar,1.0,2024-03-12 18:50:22.190795
1,Euro,0.915585,2024-03-12 18:50:22.190795
2,British Pound,0.781923,2024-03-12 18:50:22.190795
3,Indian Rupee,82.790652,2024-03-12 18:50:22.190795
4,Australian Dollar,1.514525,2024-03-12 18:50:22.190795
5,Canadian Dollar,1.349753,2024-03-12 18:50:22.190795
6,Singapore Dollar,1.332576,2024-03-12 18:50:22.190795
7,Swiss Franc,0.878291,2024-03-12 18:50:22.190795
8,Malaysian Ringgit,4.677411,2024-03-12 18:50:22.190795
9,Japanese Yen,147.682625,2024-03-12 18:50:22.190795
10,Chinese Yuan Renminbi,7.179921,2024-03-12 18:50:22.190795
11,Argentine Peso,838.623252,2024-03-12 18:50:22.190795
12,Bahraini Dinar,0.376000,2024-03-12 18:50:22.190795
13,Botswana Pula,13.559708,2024-03-12 18:50:22.190795
14,Brazilian Real,4.968495,2024-03-12 18:50:22.190795
15,Bruneian Dollar,1.332576,2024-03-12 18:50:22.190795
16,Bulgarian Lev,1.790729,2024-03-12 18:50:22.190795
17,Chilean Peso,960.259043,2024-03-12 18:50:22.190795
18,Colombian Peso,3923.922471,2024-03-12 18:50:22.190795
19,Czech Koruna,23.158445,2024-03-12 18:50:22.190795
20,Danish Krone,6.826982,2024-03-12 18:50:22.190795
21,Hong Kong Dollar,7.823955,2024-03-12 18:50:22.190795
22,Hungarian Forint,365.579459,2024-03-12 18:50:22.190795
23,Icelandic Krona,135.956066,2024-03-12 18:50:22.190795
24,Indonesian Rupiah,15553.846568,2024-03-12 18:50:22.190795
25,Iranian Rial,41962.445737,2024-03-12 18:50:22.190795
26,Israeli Shekel,3.660003,2024-03-12 18:50:22.190795
27,Kazakhstani Tenge,448.670988,2024-03-12 18:50:22.190795
28,South Korean Won,1312.516604,2024-03-12 18:50:22.190795
29,Kuwaiti Dinar,0.307197,2024-03-12 18:50:22.190795
30,Libyan Dinar,4.800742,2024-03-12 18:50:22.190795
31,Mauritian Rupee,45.682897,2024-03-12 18:50:22.190795
32,Mexican Peso,16.812286,2024-03-12 18:50:22.190795
33,Nepalese Rupee,132.527136,2024-03-12 18:50:22.190795
34,New Zealand Dollar,1.625997,2024-03-12 18:50:22.190795
35,Norwegian Krone,10.524687,2024-03-12 18:50:22.190795
36,Omani Rial,0.384987,2024-03-12 18:50:22.190795
37,Pakistani Rupee,279.104276,2024-03-12 18:50:22.190795
38,Philippine Peso,55.331164,2024-03-12 18:50:22.190795
39,Polish Zloty,3.927421,2024-03-12 18:50:22.190795
40,Qatari Riyal,3.640000,2024-03-12 18:50:22.190795
41,Romanian New Leu,4.547850,2024-03-12 18:50:22.190795
42,Russian Ruble,91.387395,2024-03-12 18:50:22.190795
43,Saudi Arabian Riyal,3.750000,2024-03-12 18:50:22.190795
44,South African Rand,18.665050,2024-03-12 18:50:22.190795
45,Sri Lankan Rupee,306.452229,2024-03-12 18:50:22.190795
46,Swedish Krona,10.236713,2024-03-12 18:50:22.190795
47,Taiwan New Dollar,31.461490,2024-03-12 18:50:22.190795
48,Thai Baht,35.759602,2024-03-12 18:50:22.190795
49,Trinidadian Dollar,6.786826,2024-03-12 18:50:22.190795
50,Turkish Lira,32.062600,2024-03-12 18:50:22.190795
51,Emirati Dirham,3.672500,2024-03-12 18:50:22.190795
52,Venezuelan Bolivar,3614950.312812,2024-03-12 18:50:22.190795
