,Currency,Rate,LOADINGDATA
0,US Dollar,1.0,2024-02-13 17:13:27.133353
1,Euro,0.933189,2024-02-13 17:13:27.133353
2,British Pound,0.793530,2024-02-13 17:13:27.133353
3,Indian Rupee,83.090634,2024-02-13 17:13:27.133353
4,Australian Dollar,1.548644,2024-02-13 17:13:27.133353
5,Canadian Dollar,1.356544,2024-02-13 17:13:27.133353
6,Singapore Dollar,1.350658,2024-02-13 17:13:27.133353
7,Swiss Franc,0.886960,2024-02-13 17:13:27.133353
8,Malaysian Ringgit,4.766213,2024-02-13 17:13:27.133353
9,Japanese Yen,150.746239,2024-02-13 17:13:27.133353
10,Chinese Yuan Renminbi,7.192158,2024-02-13 17:13:27.133353
11,Argentine Peso,831.290931,2024-02-13 17:13:27.133353
12,Bahraini Dinar,0.376000,2024-02-13 17:13:27.133353
13,Botswana Pula,13.681745,2024-02-13 17:13:27.133353
14,Brazilian Real,4.953404,2024-02-13 17:13:27.133353
15,Bruneian Dollar,1.350658,2024-02-13 17:13:27.133353
16,Bulgarian Lev,1.825160,2024-02-13 17:13:27.133353
17,Chilean Peso,969.880675,2024-02-13 17:13:27.133353
18,Colombian Peso,3925.148504,2024-02-13 17:13:27.133353
19,Czech Koruna,23.690471,2024-02-13 17:13:27.133353
20,Danish Krone,6.956007,2024-02-13 17:13:27.133353
21,Hong Kong Dollar,7.818522,2024-02-13 17:13:27.133353
22,Hungarian Forint,361.439896,2024-02-13 17:13:27.133353
23,Icelandic Krona,138.776597,2024-02-13 17:13:27.133353
24,Indonesian Rupiah,15659.384426,2024-02-13 17:13:27.133353
25,Iranian Rial,42079.331010,2024-02-13 17:13:27.133353
26,Israeli Shekel,3.668122,2024-02-13 17:13:27.133353
27,Kazakhstani Tenge,448.454469,2024-02-13 17:13:27.133353
28,South Korean Won,1340.754867,2024-02-13 17:13:27.133353
29,Kuwaiti Dinar,0.308195,2024-02-13 17:13:27.133353
30,Libyan Dinar,4.839856,2024-02-13 17:13:27.133353
31,Mauritian Rupee,46.218806,2024-02-13 17:13:27.133353
32,Mexican Peso,17.226744,2024-02-13 17:13:27.133353
33,Nepalese Rupee,133.007333,2024-02-13 17:13:27.133353
34,New Zealand Dollar,1.650641,2024-02-13 17:13:27.133353
35,Norwegian Krone,10.665062,2024-02-13 17:13:27.133353
36,Omani Rial,0.384999,2024-02-13 17:13:27.133353
37,Pakistani Rupee,279.266021,2024-02-13 17:13:27.133353
38,Philippine Peso,56.067325,2024-02-13 17:13:27.133353
39,Polish Zloty,4.051895,2024-02-13 17:13:27.133353
40,Qatari Riyal,3.640000,2024-02-13 17:13:27.133353
41,Romanian New Leu,4.644002,2024-02-13 17:13:27.133353
42,Russian Ruble,91.142695,2024-02-13 17:13:27.133353
43,Saudi Arabian Riyal,3.750000,2024-02-13 17:13:27.133353
44,South African Rand,19.101988,2024-02-13 17:13:27.133353
45,Sri Lankan Rupee,313.315337,2024-02-13 17:13:27.133353
46,Swedish Krona,10.577712,2024-02-13 17:13:27.133353
47,Taiwan New Dollar,31.526123,2024-02-13 17:13:27.133353
48,Thai Baht,36.050402,2024-02-13 17:13:27.133353
49,Trinidadian Dollar,6.781709,2024-02-13 17:13:27.133353
50,Turkish Lira,30.731467,2024-02-13 17:13:27.133353
51,Emirati Dirham,3.672500,2024-02-13 17:13:27.133353
52,Venezuelan Bolivar,3627169.201617,2024-02-13 17:13:27.133353
