,Currency,Rate,LOADINGDATA
0,US Dollar,1.0,2024-03-01 21:47:36.028381
1,Euro,0.922575,2024-03-01 21:47:36.028381
2,British Pound,0.790173,2024-03-01 21:47:36.028381
3,Indian Rupee,82.830166,2024-03-01 21:47:36.028381
4,Australian Dollar,1.532170,2024-03-01 21:47:36.028381
5,Canadian Dollar,1.355962,2024-03-01 21:47:36.028381
6,Singapore Dollar,1.344050,2024-03-01 21:47:36.028381
7,Swiss Franc,0.883320,2024-03-01 21:47:36.028381
8,Malaysian Ringgit,4.745677,2024-03-01 21:47:36.028381
9,Japanese Yen,150.135300,2024-03-01 21:47:36.028381
10,Chinese Yuan Renminbi,7.196066,2024-03-01 21:47:36.028381
11,Argentine Peso,843.224473,2024-03-01 21:47:36.028381
12,Bahraini Dinar,0.376000,2024-03-01 21:47:36.028381
13,Botswana Pula,13.774365,2024-03-01 21:47:36.028381
14,Brazilian Real,4.954649,2024-03-01 21:47:36.028381
15,Bruneian Dollar,1.344050,2024-03-01 21:47:36.028381
16,Bulgarian Lev,1.804399,2024-03-01 21:47:36.028381
17,Chilean Peso,966.973898,2024-03-01 21:47:36.028381
18,Colombian Peso,3943.454377,2024-03-01 21:47:36.028381
19,Czech Koruna,23.383097,2024-03-01 21:47:36.028381
20,Danish Krone,6.876795,2024-03-01 21:47:36.028381
21,Hong Kong Dollar,7.829528,2024-03-01 21:47:36.028381
22,Hungarian Forint,363.704266,2024-03-01 21:47:36.028381
23,Icelandic Krona,137.964959,2024-03-01 21:47:36.028381
24,Indonesian Rupiah,15696.467101,2024-03-01 21:47:36.028381
25,Iranian Rial,42036.851005,2024-03-01 21:47:36.028381
26,Israeli Shekel,3.563759,2024-03-01 21:47:36.028381
27,Kazakhstani Tenge,451.554232,2024-03-01 21:47:36.028381
28,South Korean Won,1331.803092,2024-03-01 21:47:36.028381
29,Kuwaiti Dinar,0.307817,2024-03-01 21:47:36.028381
30,Libyan Dinar,4.839762,2024-03-01 21:47:36.028381
31,Mauritian Rupee,45.756858,2024-03-01 21:47:36.028381
32,Mexican Peso,17.014168,2024-03-01 21:47:36.028381
33,Nepalese Rupee,132.590388,2024-03-01 21:47:36.028381
34,New Zealand Dollar,1.637446,2024-03-01 21:47:36.028381
35,Norwegian Krone,10.523412,2024-03-01 21:47:36.028381
36,Omani Rial,0.385000,2024-03-01 21:47:36.028381
37,Pakistani Rupee,279.516318,2024-03-01 21:47:36.028381
38,Philippine Peso,56.075405,2024-03-01 21:47:36.028381
39,Polish Zloty,3.981844,2024-03-01 21:47:36.028381
40,Qatari Riyal,3.640000,2024-03-01 21:47:36.028381
41,Romanian New Leu,4.583887,2024-03-01 21:47:36.028381
42,Russian Ruble,91.249684,2024-03-01 21:47:36.028381
43,Saudi Arabian Riyal,3.750000,2024-03-01 21:47:36.028381
44,South African Rand,19.097651,2024-03-01 21:47:36.028381
45,Sri Lankan Rupee,308.360561,2024-03-01 21:47:36.028381
46,Swedish Krona,10.320115,2024-03-01 21:47:36.028381
47,Taiwan New Dollar,31.578086,2024-03-01 21:47:36.028381
48,Thai Baht,35.824202,2024-03-01 21:47:36.028381
49,Trinidadian Dollar,6.781113,2024-03-01 21:47:36.028381
50,Turkish Lira,31.376022,2024-03-01 21:47:36.028381
51,Emirati Dirham,3.672500,2024-03-01 21:47:36.028381
52,Venezuelan Bolivar,3603504.166262,2024-03-01 21:47:36.028381
