,Currency,Rate,LOADINGDATA
0,US Dollar,1.0,2024-02-26 09:56:14.298663
1,Euro,0.922604,2024-02-26 09:56:14.298663
2,British Pound,0.788961,2024-02-26 09:56:14.298663
3,Indian Rupee,82.893432,2024-02-26 09:56:14.298663
4,Australian Dollar,1.527863,2024-02-26 09:56:14.298663
5,Canadian Dollar,1.352689,2024-02-26 09:56:14.298663
6,Singapore Dollar,1.344348,2024-02-26 09:56:14.298663
7,Swiss Franc,0.880305,2024-02-26 09:56:14.298663
8,Malaysian Ringgit,4.776935,2024-02-26 09:56:14.298663
9,Japanese Yen,150.653800,2024-02-26 09:56:14.298663
10,Chinese Yuan Renminbi,7.197917,2024-02-26 09:56:14.298663
11,Argentine Peso,838.927833,2024-02-26 09:56:14.298663
12,Bahraini Dinar,0.376000,2024-02-26 09:56:14.298663
13,Botswana Pula,13.813178,2024-02-26 09:56:14.298663
14,Brazilian Real,4.994376,2024-02-26 09:56:14.298663
15,Bruneian Dollar,1.344348,2024-02-26 09:56:14.298663
16,Bulgarian Lev,1.804456,2024-02-26 09:56:14.298663
17,Chilean Peso,978.832670,2024-02-26 09:56:14.298663
18,Colombian Peso,3963.529447,2024-02-26 09:56:14.298663
19,Czech Koruna,23.383453,2024-02-26 09:56:14.298663
20,Danish Krone,6.877447,2024-02-26 09:56:14.298663
21,Hong Kong Dollar,7.823357,2024-02-26 09:56:14.298663
22,Hungarian Forint,359.205680,2024-02-26 09:56:14.298663
23,Icelandic Krona,137.195596,2024-02-26 09:56:14.298663
24,Indonesian Rupiah,15640.300094,2024-02-26 09:56:14.298663
25,Iranian Rial,41987.650080,2024-02-26 09:56:14.298663
26,Israeli Shekel,3.639823,2024-02-26 09:56:14.298663
27,Kazakhstani Tenge,448.877342,2024-02-26 09:56:14.298663
28,South Korean Won,1331.068442,2024-02-26 09:56:14.298663
29,Kuwaiti Dinar,0.307744,2024-02-26 09:56:14.298663
30,Libyan Dinar,4.835124,2024-02-26 09:56:14.298663
31,Mauritian Rupee,45.864384,2024-02-26 09:56:14.298663
32,Mexican Peso,17.107558,2024-02-26 09:56:14.298663
33,Nepalese Rupee,132.691661,2024-02-26 09:56:14.298663
34,New Zealand Dollar,1.621443,2024-02-26 09:56:14.298663
35,Norwegian Krone,10.544800,2024-02-26 09:56:14.298663
36,Omani Rial,0.384990,2024-02-26 09:56:14.298663
37,Pakistani Rupee,279.280247,2024-02-26 09:56:14.298663
38,Philippine Peso,56.103351,2024-02-26 09:56:14.298663
39,Polish Zloty,3.977869,2024-02-26 09:56:14.298663
40,Qatari Riyal,3.640000,2024-02-26 09:56:14.298663
41,Romanian New Leu,4.588964,2024-02-26 09:56:14.298663
42,Russian Ruble,92.639788,2024-02-26 09:56:14.298663
43,Saudi Arabian Riyal,3.750000,2024-02-26 09:56:14.298663
44,South African Rand,19.345448,2024-02-26 09:56:14.298663
45,Sri Lankan Rupee,310.621701,2024-02-26 09:56:14.298663
46,Swedish Krona,10.305919,2024-02-26 09:56:14.298663
47,Taiwan New Dollar,31.543525,2024-02-26 09:56:14.298663
48,Thai Baht,35.842277,2024-02-26 09:56:14.298663
49,Trinidadian Dollar,6.800101,2024-02-26 09:56:14.298663
50,Turkish Lira,31.120560,2024-02-26 09:56:14.298663
51,Emirati Dirham,3.672500,2024-02-26 09:56:14.298663
52,Venezuelan Bolivar,3602514.792149,2024-02-26 09:56:14.298663
