,Currency,Rate,LOADINGDATA
0,US Dollar,1.0,2024-03-02 11:51:26.030445
1,Euro,0.922407,2024-03-02 11:51:26.030445
2,British Pound,0.790202,2024-03-02 11:51:26.030445
3,Indian Rupee,82.848708,2024-03-02 11:51:26.030445
4,Australian Dollar,1.532532,2024-03-02 11:51:26.030445
5,Canadian Dollar,1.357414,2024-03-02 11:51:26.030445
6,Singapore Dollar,1.344611,2024-03-02 11:51:26.030445
7,Swiss Franc,0.883981,2024-03-02 11:51:26.030445
8,Malaysian Ringgit,4.745446,2024-03-02 11:51:26.030445
9,Japanese Yen,150.116310,2024-03-02 11:51:26.030445
10,Chinese Yuan Renminbi,7.195899,2024-03-02 11:51:26.030445
11,Argentine Peso,842.124562,2024-03-02 11:51:26.030445
12,Bahraini Dinar,0.376000,2024-03-02 11:51:26.030445
13,Botswana Pula,13.748377,2024-03-02 11:51:26.030445
14,Brazilian Real,4.953238,2024-03-02 11:51:26.030445
15,Bruneian Dollar,1.344611,2024-03-02 11:51:26.030445
16,Bulgarian Lev,1.804072,2024-03-02 11:51:26.030445
17,Chilean Peso,967.575191,2024-03-02 11:51:26.030445
18,Colombian Peso,3942.446169,2024-03-02 11:51:26.030445
19,Czech Koruna,23.382413,2024-03-02 11:51:26.030445
20,Danish Krone,6.877410,2024-03-02 11:51:26.030445
21,Hong Kong Dollar,7.829018,2024-03-02 11:51:26.030445
22,Hungarian Forint,363.548212,2024-03-02 11:51:26.030445
23,Icelandic Krona,138.145456,2024-03-02 11:51:26.030445
24,Indonesian Rupiah,15704.498791,2024-03-02 11:51:26.030445
25,Iranian Rial,42020.768084,2024-03-02 11:51:26.030445
26,Israeli Shekel,3.564589,2024-03-02 11:51:26.030445
27,Kazakhstani Tenge,451.226792,2024-03-02 11:51:26.030445
28,South Korean Won,1331.639560,2024-03-02 11:51:26.030445
29,Kuwaiti Dinar,0.307823,2024-03-02 11:51:26.030445
30,Libyan Dinar,4.815980,2024-03-02 11:51:26.030445
31,Mauritian Rupee,45.765468,2024-03-02 11:51:26.030445
32,Mexican Peso,17.022554,2024-03-02 11:51:26.030445
33,Nepalese Rupee,132.620070,2024-03-02 11:51:26.030445
34,New Zealand Dollar,1.637168,2024-03-02 11:51:26.030445
35,Norwegian Krone,10.543960,2024-03-02 11:51:26.030445
36,Omani Rial,0.385003,2024-03-02 11:51:26.030445
37,Pakistani Rupee,278.606589,2024-03-02 11:51:26.030445
38,Philippine Peso,56.059477,2024-03-02 11:51:26.030445
39,Polish Zloty,3.983672,2024-03-02 11:51:26.030445
40,Qatari Riyal,3.640000,2024-03-02 11:51:26.030445
41,Romanian New Leu,4.584597,2024-03-02 11:51:26.030445
42,Russian Ruble,92.037854,2024-03-02 11:51:26.030445
43,Saudi Arabian Riyal,3.750000,2024-03-02 11:51:26.030445
44,South African Rand,19.084596,2024-03-02 11:51:26.030445
45,Sri Lankan Rupee,308.349972,2024-03-02 11:51:26.030445
46,Swedish Krona,10.344181,2024-03-02 11:51:26.030445
47,Taiwan New Dollar,31.576690,2024-03-02 11:51:26.030445
48,Thai Baht,35.840924,2024-03-02 11:51:26.030445
49,Trinidadian Dollar,6.764996,2024-03-02 11:51:26.030445
50,Turkish Lira,31.348228,2024-03-02 11:51:26.030445
51,Emirati Dirham,3.672500,2024-03-02 11:51:26.030445
52,Venezuelan Bolivar,3604028.292309,2024-03-02 11:51:26.030445
