,Currency,Rate,LOADINGDATA
0,US Dollar,1.0,2024-03-05 18:22:47.961739
1,Euro,0.921178,2024-03-05 18:22:47.961739
2,British Pound,0.786929,2024-03-05 18:22:47.961739
3,Indian Rupee,82.881916,2024-03-05 18:22:47.961739
4,Australian Dollar,1.536280,2024-03-05 18:22:47.961739
5,Canadian Dollar,1.357947,2024-03-05 18:22:47.961739
6,Singapore Dollar,1.342798,2024-03-05 18:22:47.961739
7,Swiss Franc,0.883896,2024-03-05 18:22:47.961739
8,Malaysian Ringgit,4.734626,2024-03-05 18:22:47.961739
9,Japanese Yen,150.070489,2024-03-05 18:22:47.961739
10,Chinese Yuan Renminbi,7.196768,2024-03-05 18:22:47.961739
11,Argentine Peso,845.229961,2024-03-05 18:22:47.961739
12,Bahraini Dinar,0.376000,2024-03-05 18:22:47.961739
13,Botswana Pula,13.726400,2024-03-05 18:22:47.961739
14,Brazilian Real,4.955296,2024-03-05 18:22:47.961739
15,Bruneian Dollar,1.342798,2024-03-05 18:22:47.961739
16,Bulgarian Lev,1.801668,2024-03-05 18:22:47.961739
17,Chilean Peso,977.870978,2024-03-05 18:22:47.961739
18,Colombian Peso,3944.920692,2024-03-05 18:22:47.961739
19,Czech Koruna,23.340756,2024-03-05 18:22:47.961739
20,Danish Krone,6.866694,2024-03-05 18:22:47.961739
21,Hong Kong Dollar,7.823671,2024-03-05 18:22:47.961739
22,Hungarian Forint,362.698687,2024-03-05 18:22:47.961739
23,Icelandic Krona,137.353460,2024-03-05 18:22:47.961739
24,Indonesian Rupiah,15745.010867,2024-03-05 18:22:47.961739
25,Iranian Rial,42053.202452,2024-03-05 18:22:47.961739
26,Israeli Shekel,3.588146,2024-03-05 18:22:47.961739
27,Kazakhstani Tenge,448.064449,2024-03-05 18:22:47.961739
28,South Korean Won,1336.351763,2024-03-05 18:22:47.961739
29,Kuwaiti Dinar,0.307606,2024-03-05 18:22:47.961739
30,Libyan Dinar,4.827817,2024-03-05 18:22:47.961739
31,Mauritian Rupee,45.776736,2024-03-05 18:22:47.961739
32,Mexican Peso,16.940490,2024-03-05 18:22:47.961739
33,Nepalese Rupee,132.673227,2024-03-05 18:22:47.961739
34,New Zealand Dollar,1.642063,2024-03-05 18:22:47.961739
35,Norwegian Krone,10.567798,2024-03-05 18:22:47.961739
36,Omani Rial,0.384984,2024-03-05 18:22:47.961739
37,Pakistani Rupee,279.382142,2024-03-05 18:22:47.961739
38,Philippine Peso,55.970660,2024-03-05 18:22:47.961739
39,Polish Zloty,3.973001,2024-03-05 18:22:47.961739
40,Qatari Riyal,3.640000,2024-03-05 18:22:47.961739
41,Romanian New Leu,4.580182,2024-03-05 18:22:47.961739
42,Russian Ruble,90.926445,2024-03-05 18:22:47.961739
43,Saudi Arabian Riyal,3.750000,2024-03-05 18:22:47.961739
44,South African Rand,18.964120,2024-03-05 18:22:47.961739
45,Sri Lankan Rupee,308.179777,2024-03-05 18:22:47.961739
46,Swedish Krona,10.384668,2024-03-05 18:22:47.961739
47,Taiwan New Dollar,31.583532,2024-03-05 18:22:47.961739
48,Thai Baht,35.806925,2024-03-05 18:22:47.961739
49,Trinidadian Dollar,6.778794,2024-03-05 18:22:47.961739
50,Turkish Lira,31.600239,2024-03-05 18:22:47.961739
51,Emirati Dirham,3.672500,2024-03-05 18:22:47.961739
52,Venezuelan Bolivar,3604813.776030,2024-03-05 18:22:47.961739
