,Currency,Rate,LOADINGDATA
0,US Dollar,1.0,2024-02-10 19:54:09.727460
1,Euro,0.927361,2024-02-10 19:54:09.727460
2,British Pound,0.791977,2024-02-10 19:54:09.727460
3,Indian Rupee,83.024805,2024-02-10 19:54:09.727460
4,Australian Dollar,1.533473,2024-02-10 19:54:09.727460
5,Canadian Dollar,1.346319,2024-02-10 19:54:09.727460
6,Singapore Dollar,1.346449,2024-02-10 19:54:09.727460
7,Swiss Franc,0.874842,2024-02-10 19:54:09.727460
8,Malaysian Ringgit,4.761971,2024-02-10 19:54:09.727460
9,Japanese Yen,149.295842,2024-02-10 19:54:09.727460
10,Chinese Yuan Renminbi,7.195408,2024-02-10 19:54:09.727460
11,Argentine Peso,831.176954,2024-02-10 19:54:09.727460
12,Bahraini Dinar,0.376000,2024-02-10 19:54:09.727460
13,Botswana Pula,13.701351,2024-02-10 19:54:09.727460
14,Brazilian Real,4.954654,2024-02-10 19:54:09.727460
15,Bruneian Dollar,1.346449,2024-02-10 19:54:09.727460
16,Bulgarian Lev,1.813761,2024-02-10 19:54:09.727460
17,Chilean Peso,970.794157,2024-02-10 19:54:09.727460
18,Colombian Peso,3920.183524,2024-02-10 19:54:09.727460
19,Czech Koruna,23.375689,2024-02-10 19:54:09.727460
20,Danish Krone,6.914290,2024-02-10 19:54:09.727460
21,Hong Kong Dollar,7.819746,2024-02-10 19:54:09.727460
22,Hungarian Forint,358.627786,2024-02-10 19:54:09.727460
23,Icelandic Krona,137.603649,2024-02-10 19:54:09.727460
24,Indonesian Rupiah,15635.007543,2024-02-10 19:54:09.727460
25,Iranian Rial,42001.293361,2024-02-10 19:54:09.727460
26,Israeli Shekel,3.674359,2024-02-10 19:54:09.727460
27,Kazakhstani Tenge,446.329430,2024-02-10 19:54:09.727460
28,South Korean Won,1328.806807,2024-02-10 19:54:09.727460
29,Kuwaiti Dinar,0.308992,2024-02-10 19:54:09.727460
30,Libyan Dinar,4.834976,2024-02-10 19:54:09.727460
31,Mauritian Rupee,45.751146,2024-02-10 19:54:09.727460
32,Mexican Peso,17.092129,2024-02-10 19:54:09.727460
33,Nepalese Rupee,132.901956,2024-02-10 19:54:09.727460
34,New Zealand Dollar,1.626496,2024-02-10 19:54:09.727460
35,Norwegian Krone,10.562471,2024-02-10 19:54:09.727460
36,Omani Rial,0.384988,2024-02-10 19:54:09.727460
37,Pakistani Rupee,279.366115,2024-02-10 19:54:09.727460
38,Philippine Peso,55.877783,2024-02-10 19:54:09.727460
39,Polish Zloty,4.011042,2024-02-10 19:54:09.727460
40,Qatari Riyal,3.640000,2024-02-10 19:54:09.727460
41,Romanian New Leu,4.616234,2024-02-10 19:54:09.727460
42,Russian Ruble,91.087511,2024-02-10 19:54:09.727460
43,Saudi Arabian Riyal,3.750000,2024-02-10 19:54:09.727460
44,South African Rand,19.039003,2024-02-10 19:54:09.727460
45,Sri Lankan Rupee,312.114356,2024-02-10 19:54:09.727460
46,Swedish Krona,10.467247,2024-02-10 19:54:09.727460
47,Taiwan New Dollar,31.414147,2024-02-10 19:54:09.727460
48,Thai Baht,35.906329,2024-02-10 19:54:09.727460
49,Trinidadian Dollar,6.788609,2024-02-10 19:54:09.727460
50,Turkish Lira,30.564357,2024-02-10 19:54:09.727460
51,Emirati Dirham,3.672500,2024-02-10 19:54:09.727460
52,Venezuelan Bolivar,3615230.377363,2024-02-10 19:54:09.727460
