,Currency,Rate,LOADINGDATA
0,US Dollar,1.0,2024-03-03 10:56:12.663072
1,Euro,0.922764,2024-03-03 10:56:12.663072
2,British Pound,0.790353,2024-03-03 10:56:12.663072
3,Indian Rupee,82.838618,2024-03-03 10:56:12.663072
4,Australian Dollar,1.532905,2024-03-03 10:56:12.663072
5,Canadian Dollar,1.356017,2024-03-03 10:56:12.663072
6,Singapore Dollar,1.344343,2024-03-03 10:56:12.663072
7,Swiss Franc,0.883574,2024-03-03 10:56:12.663072
8,Malaysian Ringgit,4.744100,2024-03-03 10:56:12.663072
9,Japanese Yen,150.133185,2024-03-03 10:56:12.663072
10,Chinese Yuan Renminbi,7.195879,2024-03-03 10:56:12.663072
11,Argentine Peso,843.001343,2024-03-03 10:56:12.663072
12,Bahraini Dinar,0.376000,2024-03-03 10:56:12.663072
13,Botswana Pula,13.748378,2024-03-03 10:56:12.663072
14,Brazilian Real,4.955072,2024-03-03 10:56:12.663072
15,Bruneian Dollar,1.344343,2024-03-03 10:56:12.663072
16,Bulgarian Lev,1.804769,2024-03-03 10:56:12.663072
17,Chilean Peso,968.977788,2024-03-03 10:56:12.663072
18,Colombian Peso,3935.278453,2024-03-03 10:56:12.663072
19,Czech Koruna,23.394319,2024-03-03 10:56:12.663072
20,Danish Krone,6.877481,2024-03-03 10:56:12.663072
21,Hong Kong Dollar,7.828539,2024-03-03 10:56:12.663072
22,Hungarian Forint,363.619766,2024-03-03 10:56:12.663072
23,Icelandic Krona,138.253543,2024-03-03 10:56:12.663072
24,Indonesian Rupiah,15710.290864,2024-03-03 10:56:12.663072
25,Iranian Rial,42002.615331,2024-03-03 10:56:12.663072
26,Israeli Shekel,3.564880,2024-03-03 10:56:12.663072
27,Kazakhstani Tenge,450.424256,2024-03-03 10:56:12.663072
28,South Korean Won,1331.531346,2024-03-03 10:56:12.663072
29,Kuwaiti Dinar,0.307738,2024-03-03 10:56:12.663072
30,Libyan Dinar,4.829525,2024-03-03 10:56:12.663072
31,Mauritian Rupee,45.789785,2024-03-03 10:56:12.663072
32,Mexican Peso,17.018004,2024-03-03 10:56:12.663072
33,Nepalese Rupee,132.603917,2024-03-03 10:56:12.663072
34,New Zealand Dollar,1.636410,2024-03-03 10:56:12.663072
35,Norwegian Krone,10.561502,2024-03-03 10:56:12.663072
36,Omani Rial,0.384842,2024-03-03 10:56:12.663072
37,Pakistani Rupee,279.250962,2024-03-03 10:56:12.663072
38,Philippine Peso,56.114033,2024-03-03 10:56:12.663072
39,Polish Zloty,3.983508,2024-03-03 10:56:12.663072
40,Qatari Riyal,3.640000,2024-03-03 10:56:12.663072
41,Romanian New Leu,4.588991,2024-03-03 10:56:12.663072
42,Russian Ruble,91.713693,2024-03-03 10:56:12.663072
43,Saudi Arabian Riyal,3.750000,2024-03-03 10:56:12.663072
44,South African Rand,19.122661,2024-03-03 10:56:12.663072
45,Sri Lankan Rupee,308.349913,2024-03-03 10:56:12.663072
46,Swedish Krona,10.326013,2024-03-03 10:56:12.663072
47,Taiwan New Dollar,31.578014,2024-03-03 10:56:12.663072
48,Thai Baht,35.907441,2024-03-03 10:56:12.663072
49,Trinidadian Dollar,6.752261,2024-03-03 10:56:12.663072
50,Turkish Lira,31.368787,2024-03-03 10:56:12.663072
51,Emirati Dirham,3.672500,2024-03-03 10:56:12.663072
52,Venezuelan Bolivar,3606664.626311,2024-03-03 10:56:12.663072
