,Currency,Rate,LOADINGDATA
0,US Dollar,1.0,2024-02-24 16:52:52.070125
1,Euro,0.923727,2024-02-24 16:52:52.070125
2,British Pound,0.789006,2024-02-24 16:52:52.070125
3,Indian Rupee,82.863402,2024-02-24 16:52:52.070125
4,Australian Dollar,1.524512,2024-02-24 16:52:52.070125
5,Canadian Dollar,1.350274,2024-02-24 16:52:52.070125
6,Singapore Dollar,1.343316,2024-02-24 16:52:52.070125
7,Swiss Franc,0.881069,2024-02-24 16:52:52.070125
8,Malaysian Ringgit,4.776261,2024-02-24 16:52:52.070125
9,Japanese Yen,150.510520,2024-02-24 16:52:52.070125
10,Chinese Yuan Renminbi,7.195332,2024-02-24 16:52:52.070125
11,Argentine Peso,838.914076,2024-02-24 16:52:52.070125
12,Bahraini Dinar,0.376000,2024-02-24 16:52:52.070125
13,Botswana Pula,13.774277,2024-02-24 16:52:52.070125
14,Brazilian Real,4.994825,2024-02-24 16:52:52.070125
15,Bruneian Dollar,1.343316,2024-02-24 16:52:52.070125
16,Bulgarian Lev,1.806653,2024-02-24 16:52:52.070125
17,Chilean Peso,981.426633,2024-02-24 16:52:52.070125
18,Colombian Peso,3965.125679,2024-02-24 16:52:52.070125
19,Czech Koruna,23.423411,2024-02-24 16:52:52.070125
20,Danish Krone,6.887704,2024-02-24 16:52:52.070125
21,Hong Kong Dollar,7.824069,2024-02-24 16:52:52.070125
22,Hungarian Forint,359.239480,2024-02-24 16:52:52.070125
23,Icelandic Krona,137.064865,2024-02-24 16:52:52.070125
24,Indonesian Rupiah,15594.198616,2024-02-24 16:52:52.070125
25,Iranian Rial,42003.117254,2024-02-24 16:52:52.070125
26,Israeli Shekel,3.626740,2024-02-24 16:52:52.070125
27,Kazakhstani Tenge,449.266921,2024-02-24 16:52:52.070125
28,South Korean Won,1330.296239,2024-02-24 16:52:52.070125
29,Kuwaiti Dinar,0.308505,2024-02-24 16:52:52.070125
30,Libyan Dinar,4.829582,2024-02-24 16:52:52.070125
31,Mauritian Rupee,45.620713,2024-02-24 16:52:52.070125
32,Mexican Peso,17.120151,2024-02-24 16:52:52.070125
33,Nepalese Rupee,132.643590,2024-02-24 16:52:52.070125
34,New Zealand Dollar,1.613942,2024-02-24 16:52:52.070125
35,Norwegian Krone,10.548993,2024-02-24 16:52:52.070125
36,Omani Rial,0.385003,2024-02-24 16:52:52.070125
37,Pakistani Rupee,279.327868,2024-02-24 16:52:52.070125
38,Philippine Peso,55.903549,2024-02-24 16:52:52.070125
39,Polish Zloty,3.977513,2024-02-24 16:52:52.070125
40,Qatari Riyal,3.640000,2024-02-24 16:52:52.070125
41,Romanian New Leu,4.596883,2024-02-24 16:52:52.070125
42,Russian Ruble,93.983545,2024-02-24 16:52:52.070125
43,Saudi Arabian Riyal,3.750000,2024-02-24 16:52:52.070125
44,South African Rand,19.296338,2024-02-24 16:52:52.070125
45,Sri Lankan Rupee,310.975922,2024-02-24 16:52:52.070125
46,Swedish Krona,10.322238,2024-02-24 16:52:52.070125
47,Taiwan New Dollar,31.637057,2024-02-24 16:52:52.070125
48,Thai Baht,35.925081,2024-02-24 16:52:52.070125
49,Trinidadian Dollar,6.792578,2024-02-24 16:52:52.070125
50,Turkish Lira,30.998133,2024-02-24 16:52:52.070125
51,Emirati Dirham,3.672500,2024-02-24 16:52:52.070125
52,Venezuelan Bolivar,3614680.337791,2024-02-24 16:52:52.070125
