,Currency,Rate,LOADINGDATA
0,US Dollar,1.0,2024-03-04 13:25:44.408094
1,Euro,0.922153,2024-03-04 13:25:44.408094
2,British Pound,0.789143,2024-03-04 13:25:44.408094
3,Indian Rupee,82.924508,2024-03-04 13:25:44.408094
4,Australian Dollar,1.535383,2024-03-04 13:25:44.408094
5,Canadian Dollar,1.357950,2024-03-04 13:25:44.408094
6,Singapore Dollar,1.343539,2024-03-04 13:25:44.408094
7,Swiss Franc,0.886025,2024-03-04 13:25:44.408094
8,Malaysian Ringgit,4.723920,2024-03-04 13:25:44.408094
9,Japanese Yen,150.550476,2024-03-04 13:25:44.408094
10,Chinese Yuan Renminbi,7.199355,2024-03-04 13:25:44.408094
11,Argentine Peso,844.340538,2024-03-04 13:25:44.408094
12,Bahraini Dinar,0.376000,2024-03-04 13:25:44.408094
13,Botswana Pula,13.738837,2024-03-04 13:25:44.408094
14,Brazilian Real,4.952205,2024-03-04 13:25:44.408094
15,Bruneian Dollar,1.343539,2024-03-04 13:25:44.408094
16,Bulgarian Lev,1.803575,2024-03-04 13:25:44.408094
17,Chilean Peso,973.976802,2024-03-04 13:25:44.408094
18,Colombian Peso,3956.132216,2024-03-04 13:25:44.408094
19,Czech Koruna,23.381956,2024-03-04 13:25:44.408094
20,Danish Krone,6.873592,2024-03-04 13:25:44.408094
21,Hong Kong Dollar,7.824289,2024-03-04 13:25:44.408094
22,Hungarian Forint,364.426109,2024-03-04 13:25:44.408094
23,Icelandic Krona,137.867281,2024-03-04 13:25:44.408094
24,Indonesian Rupiah,15740.352852,2024-03-04 13:25:44.408094
25,Iranian Rial,42100.298622,2024-03-04 13:25:44.408094
26,Israeli Shekel,3.578573,2024-03-04 13:25:44.408094
27,Kazakhstani Tenge,452.346789,2024-03-04 13:25:44.408094
28,South Korean Won,1331.843995,2024-03-04 13:25:44.408094
29,Kuwaiti Dinar,0.307651,2024-03-04 13:25:44.408094
30,Libyan Dinar,4.826444,2024-03-04 13:25:44.408094
31,Mauritian Rupee,45.828700,2024-03-04 13:25:44.408094
32,Mexican Peso,17.019721,2024-03-04 13:25:44.408094
33,Nepalese Rupee,132.741407,2024-03-04 13:25:44.408094
34,New Zealand Dollar,1.641399,2024-03-04 13:25:44.408094
35,Norwegian Krone,10.552073,2024-03-04 13:25:44.408094
36,Omani Rial,0.384991,2024-03-04 13:25:44.408094
37,Pakistani Rupee,279.445018,2024-03-04 13:25:44.408094
38,Philippine Peso,56.032242,2024-03-04 13:25:44.408094
39,Polish Zloty,3.986223,2024-03-04 13:25:44.408094
40,Qatari Riyal,3.640000,2024-03-04 13:25:44.408094
41,Romanian New Leu,4.584117,2024-03-04 13:25:44.408094
42,Russian Ruble,91.053500,2024-03-04 13:25:44.408094
43,Saudi Arabian Riyal,3.750000,2024-03-04 13:25:44.408094
44,South African Rand,19.041652,2024-03-04 13:25:44.408094
45,Sri Lankan Rupee,308.230973,2024-03-04 13:25:44.408094
46,Swedish Krona,10.372952,2024-03-04 13:25:44.408094
47,Taiwan New Dollar,31.569831,2024-03-04 13:25:44.408094
48,Thai Baht,35.844789,2024-03-04 13:25:44.408094
49,Trinidadian Dollar,6.780948,2024-03-04 13:25:44.408094
50,Turkish Lira,31.528707,2024-03-04 13:25:44.408094
51,Emirati Dirham,3.672500,2024-03-04 13:25:44.408094
52,Venezuelan Bolivar,3603491.218600,2024-03-04 13:25:44.408094
