,Currency,Rate,LOADINGDATA
0,US Dollar,1.0,2024-03-09 12:14:04.960752
1,Euro,0.914070,2024-03-09 12:14:04.960752
2,British Pound,0.777758,2024-03-09 12:14:04.960752
3,Indian Rupee,82.760361,2024-03-09 12:14:04.960752
4,Australian Dollar,1.509164,2024-03-09 12:14:04.960752
5,Canadian Dollar,1.352536,2024-03-09 12:14:04.960752
6,Singapore Dollar,1.333374,2024-03-09 12:14:04.960752
7,Swiss Franc,0.877745,2024-03-09 12:14:04.960752
8,Malaysian Ringgit,4.685182,2024-03-09 12:14:04.960752
9,Japanese Yen,147.059735,2024-03-09 12:14:04.960752
10,Chinese Yuan Renminbi,7.189626,2024-03-09 12:14:04.960752
11,Argentine Peso,846.847196,2024-03-09 12:14:04.960752
12,Bahraini Dinar,0.376000,2024-03-09 12:14:04.960752
13,Botswana Pula,13.725859,2024-03-09 12:14:04.960752
14,Brazilian Real,4.948692,2024-03-09 12:14:04.960752
15,Bruneian Dollar,1.333374,2024-03-09 12:14:04.960752
16,Bulgarian Lev,1.787765,2024-03-09 12:14:04.960752
17,Chilean Peso,961.303287,2024-03-09 12:14:04.960752
18,Colombian Peso,3911.316804,2024-03-09 12:14:04.960752
19,Czech Koruna,23.159146,2024-03-09 12:14:04.960752
20,Danish Krone,6.814411,2024-03-09 12:14:04.960752
21,Hong Kong Dollar,7.820354,2024-03-09 12:14:04.960752
22,Hungarian Forint,360.610154,2024-03-09 12:14:04.960752
23,Icelandic Krona,136.131546,2024-03-09 12:14:04.960752
24,Indonesian Rupiah,15549.590427,2024-03-09 12:14:04.960752
25,Iranian Rial,42034.064995,2024-03-09 12:14:04.960752
26,Israeli Shekel,3.574394,2024-03-09 12:14:04.960752
27,Kazakhstani Tenge,447.055749,2024-03-09 12:14:04.960752
28,South Korean Won,1317.204254,2024-03-09 12:14:04.960752
29,Kuwaiti Dinar,0.307069,2024-03-09 12:14:04.960752
30,Libyan Dinar,4.811044,2024-03-09 12:14:04.960752
31,Mauritian Rupee,45.775378,2024-03-09 12:14:04.960752
32,Mexican Peso,16.800533,2024-03-09 12:14:04.960752
33,Nepalese Rupee,132.478647,2024-03-09 12:14:04.960752
34,New Zealand Dollar,1.619426,2024-03-09 12:14:04.960752
35,Norwegian Krone,10.404288,2024-03-09 12:14:04.960752
36,Omani Rial,0.384956,2024-03-09 12:14:04.960752
37,Pakistani Rupee,278.938762,2024-03-09 12:14:04.960752
38,Philippine Peso,55.558464,2024-03-09 12:14:04.960752
39,Polish Zloty,3.931235,2024-03-09 12:14:04.960752
40,Qatari Riyal,3.640000,2024-03-09 12:14:04.960752
41,Romanian New Leu,4.540018,2024-03-09 12:14:04.960752
42,Russian Ruble,90.982674,2024-03-09 12:14:04.960752
43,Saudi Arabian Riyal,3.750000,2024-03-09 12:14:04.960752
44,South African Rand,18.725311,2024-03-09 12:14:04.960752
45,Sri Lankan Rupee,307.552612,2024-03-09 12:14:04.960752
46,Swedish Krona,10.228737,2024-03-09 12:14:04.960752
47,Taiwan New Dollar,31.446938,2024-03-09 12:14:04.960752
48,Thai Baht,35.387783,2024-03-09 12:14:04.960752
49,Trinidadian Dollar,6.779247,2024-03-09 12:14:04.960752
50,Turkish Lira,31.878845,2024-03-09 12:14:04.960752
51,Emirati Dirham,3.672500,2024-03-09 12:14:04.960752
52,Venezuelan Bolivar,3611702.257026,2024-03-09 12:14:04.960752
