,Currency,Rate,LOADINGDATA
0,US Dollar,1.0,2024-02-15 19:42:41.788962
1,Euro,0.928608,2024-02-15 19:42:41.788962
2,British Pound,0.793808,2024-02-15 19:42:41.788962
3,Indian Rupee,82.999021,2024-02-15 19:42:41.788962
4,Australian Dollar,1.533209,2024-02-15 19:42:41.788962
5,Canadian Dollar,1.347178,2024-02-15 19:42:41.788962
6,Singapore Dollar,1.345806,2024-02-15 19:42:41.788962
7,Swiss Franc,0.879699,2024-02-15 19:42:41.788962
8,Malaysian Ringgit,4.780883,2024-02-15 19:42:41.788962
9,Japanese Yen,149.952489,2024-02-15 19:42:41.788962
10,Chinese Yuan Renminbi,7.192827,2024-02-15 19:42:41.788962
11,Argentine Peso,834.476891,2024-02-15 19:42:41.788962
12,Bahraini Dinar,0.376000,2024-02-15 19:42:41.788962
13,Botswana Pula,13.724846,2024-02-15 19:42:41.788962
14,Brazilian Real,4.968986,2024-02-15 19:42:41.788962
15,Bruneian Dollar,1.345806,2024-02-15 19:42:41.788962
16,Bulgarian Lev,1.816200,2024-02-15 19:42:41.788962
17,Chilean Peso,967.827578,2024-02-15 19:42:41.788962
18,Colombian Peso,3910.192304,2024-02-15 19:42:41.788962
19,Czech Koruna,23.560365,2024-02-15 19:42:41.788962
20,Danish Krone,6.923022,2024-02-15 19:42:41.788962
21,Hong Kong Dollar,7.819565,2024-02-15 19:42:41.788962
22,Hungarian Forint,361.485600,2024-02-15 19:42:41.788962
23,Icelandic Krona,138.293340,2024-02-15 19:42:41.788962
24,Indonesian Rupiah,15619.143486,2024-02-15 19:42:41.788962
25,Iranian Rial,41980.774143,2024-02-15 19:42:41.788962
26,Israeli Shekel,3.617688,2024-02-15 19:42:41.788962
27,Kazakhstani Tenge,448.098982,2024-02-15 19:42:41.788962
28,South Korean Won,1330.908155,2024-02-15 19:42:41.788962
29,Kuwaiti Dinar,0.307964,2024-02-15 19:42:41.788962
30,Libyan Dinar,4.849361,2024-02-15 19:42:41.788962
31,Mauritian Rupee,45.639079,2024-02-15 19:42:41.788962
32,Mexican Peso,17.055323,2024-02-15 19:42:41.788962
33,Nepalese Rupee,132.860683,2024-02-15 19:42:41.788962
34,New Zealand Dollar,1.635831,2024-02-15 19:42:41.788962
35,Norwegian Krone,10.530805,2024-02-15 19:42:41.788962
36,Omani Rial,0.384978,2024-02-15 19:42:41.788962
37,Pakistani Rupee,278.353181,2024-02-15 19:42:41.788962
38,Philippine Peso,55.946977,2024-02-15 19:42:41.788962
39,Polish Zloty,4.034538,2024-02-15 19:42:41.788962
40,Qatari Riyal,3.640000,2024-02-15 19:42:41.788962
41,Romanian New Leu,4.621850,2024-02-15 19:42:41.788962
42,Russian Ruble,91.621962,2024-02-15 19:42:41.788962
43,Saudi Arabian Riyal,3.750000,2024-02-15 19:42:41.788962
44,South African Rand,18.955695,2024-02-15 19:42:41.788962
45,Sri Lankan Rupee,312.772600,2024-02-15 19:42:41.788962
46,Swedish Krona,10.457306,2024-02-15 19:42:41.788962
47,Taiwan New Dollar,31.331516,2024-02-15 19:42:41.788962
48,Thai Baht,36.061174,2024-02-15 19:42:41.788962
49,Trinidadian Dollar,6.779825,2024-02-15 19:42:41.788962
50,Turkish Lira,30.739825,2024-02-15 19:42:41.788962
51,Emirati Dirham,3.672500,2024-02-15 19:42:41.788962
52,Venezuelan Bolivar,3621204.127328,2024-02-15 19:42:41.788962
