,Currency,Rate,LOADINGDATA
0,US Dollar,1.0,2024-02-18 12:19:51.933080
1,Euro,0.928141,2024-02-18 12:19:51.933080
2,British Pound,0.793890,2024-02-18 12:19:51.933080
3,Indian Rupee,83.015986,2024-02-18 12:19:51.933080
4,Australian Dollar,1.532094,2024-02-18 12:19:51.933080
5,Canadian Dollar,1.348772,2024-02-18 12:19:51.933080
6,Singapore Dollar,1.346166,2024-02-18 12:19:51.933080
7,Swiss Franc,0.880796,2024-02-18 12:19:51.933080
8,Malaysian Ringgit,4.779746,2024-02-18 12:19:51.933080
9,Japanese Yen,150.221680,2024-02-18 12:19:51.933080
10,Chinese Yuan Renminbi,7.192786,2024-02-18 12:19:51.933080
11,Argentine Peso,835.002916,2024-02-18 12:19:51.933080
12,Bahraini Dinar,0.376000,2024-02-18 12:19:51.933080
13,Botswana Pula,13.713340,2024-02-18 12:19:51.933080
14,Brazilian Real,4.967608,2024-02-18 12:19:51.933080
15,Bruneian Dollar,1.346166,2024-02-18 12:19:51.933080
16,Bulgarian Lev,1.815287,2024-02-18 12:19:51.933080
17,Chilean Peso,969.831519,2024-02-18 12:19:51.933080
18,Colombian Peso,3916.839853,2024-02-18 12:19:51.933080
19,Czech Koruna,23.620810,2024-02-18 12:19:51.933080
20,Danish Krone,6.919270,2024-02-18 12:19:51.933080
21,Hong Kong Dollar,7.822359,2024-02-18 12:19:51.933080
22,Hungarian Forint,361.012524,2024-02-18 12:19:51.933080
23,Icelandic Krona,138.143458,2024-02-18 12:19:51.933080
24,Indonesian Rupiah,15611.852723,2024-02-18 12:19:51.933080
25,Iranian Rial,42002.605146,2024-02-18 12:19:51.933080
26,Israeli Shekel,3.607988,2024-02-18 12:19:51.933080
27,Kazakhstani Tenge,449.414112,2024-02-18 12:19:51.933080
28,South Korean Won,1331.784137,2024-02-18 12:19:51.933080
29,Kuwaiti Dinar,0.307939,2024-02-18 12:19:51.933080
30,Libyan Dinar,4.847300,2024-02-18 12:19:51.933080
31,Mauritian Rupee,46.899954,2024-02-18 12:19:51.933080
32,Mexican Peso,17.058713,2024-02-18 12:19:51.933080
33,Nepalese Rupee,132.887839,2024-02-18 12:19:51.933080
34,New Zealand Dollar,1.632672,2024-02-18 12:19:51.933080
35,Norwegian Krone,10.448818,2024-02-18 12:19:51.933080
36,Omani Rial,0.385000,2024-02-18 12:19:51.933080
37,Pakistani Rupee,279.338848,2024-02-18 12:19:51.933080
38,Philippine Peso,55.959838,2024-02-18 12:19:51.933080
39,Polish Zloty,4.027015,2024-02-18 12:19:51.933080
40,Qatari Riyal,3.640000,2024-02-18 12:19:51.933080
41,Romanian New Leu,4.618662,2024-02-18 12:19:51.933080
42,Russian Ruble,92.263074,2024-02-18 12:19:51.933080
43,Saudi Arabian Riyal,3.750000,2024-02-18 12:19:51.933080
44,South African Rand,18.886867,2024-02-18 12:19:51.933080
45,Sri Lankan Rupee,312.599728,2024-02-18 12:19:51.933080
46,Swedish Krona,10.439523,2024-02-18 12:19:51.933080
47,Taiwan New Dollar,31.381784,2024-02-18 12:19:51.933080
48,Thai Baht,36.099620,2024-02-18 12:19:51.933080
49,Trinidadian Dollar,6.777358,2024-02-18 12:19:51.933080
50,Turkish Lira,30.841555,2024-02-18 12:19:51.933080
51,Emirati Dirham,3.672500,2024-02-18 12:19:51.933080
52,Venezuelan Bolivar,3618824.963600,2024-02-18 12:19:51.933080
