,Currency,Rate,LOADINGDATA
0,US Dollar,1.0,2024-02-12 08:11:18.535840
1,Euro,0.926359,2024-02-12 08:11:18.535840
2,British Pound,0.790898,2024-02-12 08:11:18.535840
3,Indian Rupee,82.990009,2024-02-12 08:11:18.535840
4,Australian Dollar,1.532476,2024-02-12 08:11:18.535840
5,Canadian Dollar,1.345654,2024-02-12 08:11:18.535840
6,Singapore Dollar,1.344393,2024-02-12 08:11:18.535840
7,Swiss Franc,0.873384,2024-02-12 08:11:18.535840
8,Malaysian Ringgit,4.765170,2024-02-12 08:11:18.535840
9,Japanese Yen,149.028760,2024-02-12 08:11:18.535840
10,Chinese Yuan Renminbi,7.193301,2024-02-12 08:11:18.535840
11,Argentine Peso,831.358408,2024-02-12 08:11:18.535840
12,Bahraini Dinar,0.376000,2024-02-12 08:11:18.535840
13,Botswana Pula,13.716122,2024-02-12 08:11:18.535840
14,Brazilian Real,4.954081,2024-02-12 08:11:18.535840
15,Bruneian Dollar,1.344393,2024-02-12 08:11:18.535840
16,Bulgarian Lev,1.811800,2024-02-12 08:11:18.535840
17,Chilean Peso,969.464653,2024-02-12 08:11:18.535840
18,Colombian Peso,3921.672061,2024-02-12 08:11:18.535840
19,Czech Koruna,23.353175,2024-02-12 08:11:18.535840
20,Danish Krone,6.906299,2024-02-12 08:11:18.535840
21,Hong Kong Dollar,7.820507,2024-02-12 08:11:18.535840
22,Hungarian Forint,358.732831,2024-02-12 08:11:18.535840
23,Icelandic Krona,137.383064,2024-02-12 08:11:18.535840
24,Indonesian Rupiah,15599.528552,2024-02-12 08:11:18.535840
25,Iranian Rial,41863.617426,2024-02-12 08:11:18.535840
26,Israeli Shekel,3.693277,2024-02-12 08:11:18.535840
27,Kazakhstani Tenge,447.092813,2024-02-12 08:11:18.535840
28,South Korean Won,1329.959141,2024-02-12 08:11:18.535840
29,Kuwaiti Dinar,0.307793,2024-02-12 08:11:18.535840
30,Libyan Dinar,4.827808,2024-02-12 08:11:18.535840
31,Mauritian Rupee,45.602698,2024-02-12 08:11:18.535840
32,Mexican Peso,17.070892,2024-02-12 08:11:18.535840
33,Nepalese Rupee,132.846257,2024-02-12 08:11:18.535840
34,New Zealand Dollar,1.630214,2024-02-12 08:11:18.535840
35,Norwegian Krone,10.536751,2024-02-12 08:11:18.535840
36,Omani Rial,0.384991,2024-02-12 08:11:18.535840
37,Pakistani Rupee,278.140094,2024-02-12 08:11:18.535840
38,Philippine Peso,56.015439,2024-02-12 08:11:18.535840
39,Polish Zloty,4.010665,2024-02-12 08:11:18.535840
40,Qatari Riyal,3.640000,2024-02-12 08:11:18.535840
41,Romanian New Leu,4.610682,2024-02-12 08:11:18.535840
42,Russian Ruble,90.989932,2024-02-12 08:11:18.535840
43,Saudi Arabian Riyal,3.750000,2024-02-12 08:11:18.535840
44,South African Rand,19.006674,2024-02-12 08:11:18.535840
45,Sri Lankan Rupee,312.958122,2024-02-12 08:11:18.535840
46,Swedish Krona,10.434577,2024-02-12 08:11:18.535840
47,Taiwan New Dollar,31.382935,2024-02-12 08:11:18.535840
48,Thai Baht,35.858694,2024-02-12 08:11:18.535840
49,Trinidadian Dollar,6.775160,2024-02-12 08:11:18.535840
50,Turkish Lira,30.701704,2024-02-12 08:11:18.535840
51,Emirati Dirham,3.672500,2024-02-12 08:11:18.535840
52,Venezuelan Bolivar,3627310.768301,2024-02-12 08:11:18.535840
