,Currency,Rate,LOADINGDATA
0,US Dollar,1.0,2024-02-11 09:08:50.557589
1,Euro,0.927516,2024-02-11 09:08:50.557589
2,British Pound,0.792292,2024-02-11 09:08:50.557589
3,Indian Rupee,83.043279,2024-02-11 09:08:50.557589
4,Australian Dollar,1.535456,2024-02-11 09:08:50.557589
5,Canadian Dollar,1.347063,2024-02-11 09:08:50.557589
6,Singapore Dollar,1.346378,2024-02-11 09:08:50.557589
7,Swiss Franc,0.875071,2024-02-11 09:08:50.557589
8,Malaysian Ringgit,4.762197,2024-02-11 09:08:50.557589
9,Japanese Yen,149.324012,2024-02-11 09:08:50.557589
10,Chinese Yuan Renminbi,7.196804,2024-02-11 09:08:50.557589
11,Argentine Peso,831.167539,2024-02-11 09:08:50.557589
12,Bahraini Dinar,0.376000,2024-02-11 09:08:50.557589
13,Botswana Pula,13.701351,2024-02-11 09:08:50.557589
14,Brazilian Real,4.953246,2024-02-11 09:08:50.557589
15,Bruneian Dollar,1.346378,2024-02-11 09:08:50.557589
16,Bulgarian Lev,1.814064,2024-02-11 09:08:50.557589
17,Chilean Peso,970.794157,2024-02-11 09:08:50.557589
18,Colombian Peso,3925.583421,2024-02-11 09:08:50.557589
19,Czech Koruna,23.395881,2024-02-11 09:08:50.557589
20,Danish Krone,6.914740,2024-02-11 09:08:50.557589
21,Hong Kong Dollar,7.819960,2024-02-11 09:08:50.557589
22,Hungarian Forint,358.831430,2024-02-11 09:08:50.557589
23,Icelandic Krona,137.604045,2024-02-11 09:08:50.557589
24,Indonesian Rupiah,15693.832665,2024-02-11 09:08:50.557589
25,Iranian Rial,42001.142290,2024-02-11 09:08:50.557589
26,Israeli Shekel,3.679861,2024-02-11 09:08:50.557589
27,Kazakhstani Tenge,446.341597,2024-02-11 09:08:50.557589
28,South Korean Won,1328.110381,2024-02-11 09:08:50.557589
29,Kuwaiti Dinar,0.308992,2024-02-11 09:08:50.557589
30,Libyan Dinar,4.834901,2024-02-11 09:08:50.557589
31,Mauritian Rupee,45.907100,2024-02-11 09:08:50.557589
32,Mexican Peso,17.086287,2024-02-11 09:08:50.557589
33,Nepalese Rupee,132.931530,2024-02-11 09:08:50.557589
34,New Zealand Dollar,1.626517,2024-02-11 09:08:50.557589
35,Norwegian Krone,10.576202,2024-02-11 09:08:50.557589
36,Omani Rial,0.384986,2024-02-11 09:08:50.557589
37,Pakistani Rupee,279.401537,2024-02-11 09:08:50.557589
38,Philippine Peso,55.869411,2024-02-11 09:08:50.557589
39,Polish Zloty,4.011148,2024-02-11 09:08:50.557589
40,Qatari Riyal,3.640000,2024-02-11 09:08:50.557589
41,Romanian New Leu,4.618620,2024-02-11 09:08:50.557589
42,Russian Ruble,91.007586,2024-02-11 09:08:50.557589
43,Saudi Arabian Riyal,3.750000,2024-02-11 09:08:50.557589
44,South African Rand,19.035085,2024-02-11 09:08:50.557589
45,Sri Lankan Rupee,312.112614,2024-02-11 09:08:50.557589
46,Swedish Krona,10.524226,2024-02-11 09:08:50.557589
47,Taiwan New Dollar,31.407704,2024-02-11 09:08:50.557589
48,Thai Baht,35.914385,2024-02-11 09:08:50.557589
49,Trinidadian Dollar,6.788574,2024-02-11 09:08:50.557589
50,Turkish Lira,30.670313,2024-02-11 09:08:50.557589
51,Emirati Dirham,3.672500,2024-02-11 09:08:50.557589
52,Venezuelan Bolivar,3615218.161679,2024-02-11 09:08:50.557589
