,Currency,Rate,LOADINGDATA
0,US Dollar,1.0,2024-02-16 21:57:17.647917
1,Euro,0.927934,2024-02-16 21:57:17.647917
2,British Pound,0.793614,2024-02-16 21:57:17.647917
3,Indian Rupee,83.009730,2024-02-16 21:57:17.647917
4,Australian Dollar,1.530770,2024-02-16 21:57:17.647917
5,Canadian Dollar,1.348590,2024-02-16 21:57:17.647917
6,Singapore Dollar,1.346006,2024-02-16 21:57:17.647917
7,Swiss Franc,0.881009,2024-02-16 21:57:17.647917
8,Malaysian Ringgit,4.780065,2024-02-16 21:57:17.647917
9,Japanese Yen,150.186700,2024-02-16 21:57:17.647917
10,Chinese Yuan Renminbi,7.192823,2024-02-16 21:57:17.647917
11,Argentine Peso,835.069827,2024-02-16 21:57:17.647917
12,Bahraini Dinar,0.376000,2024-02-16 21:57:17.647917
13,Botswana Pula,13.707596,2024-02-16 21:57:17.647917
14,Brazilian Real,4.966981,2024-02-16 21:57:17.647917
15,Bruneian Dollar,1.346006,2024-02-16 21:57:17.647917
16,Bulgarian Lev,1.814881,2024-02-16 21:57:17.647917
17,Chilean Peso,971.327095,2024-02-16 21:57:17.647917
18,Colombian Peso,3906.925074,2024-02-16 21:57:17.647917
19,Czech Koruna,23.608034,2024-02-16 21:57:17.647917
20,Danish Krone,6.917134,2024-02-16 21:57:17.647917
21,Hong Kong Dollar,7.821849,2024-02-16 21:57:17.647917
22,Hungarian Forint,361.182399,2024-02-16 21:57:17.647917
23,Icelandic Krona,137.992617,2024-02-16 21:57:17.647917
24,Indonesian Rupiah,15651.636961,2024-02-16 21:57:17.647917
25,Iranian Rial,41996.159789,2024-02-16 21:57:17.647917
26,Israeli Shekel,3.607999,2024-02-16 21:57:17.647917
27,Kazakhstani Tenge,450.030082,2024-02-16 21:57:17.647917
28,South Korean Won,1332.520605,2024-02-16 21:57:17.647917
29,Kuwaiti Dinar,0.307959,2024-02-16 21:57:17.647917
30,Libyan Dinar,4.859486,2024-02-16 21:57:17.647917
31,Mauritian Rupee,46.970023,2024-02-16 21:57:17.647917
32,Mexican Peso,17.054464,2024-02-16 21:57:17.647917
33,Nepalese Rupee,132.877825,2024-02-16 21:57:17.647917
34,New Zealand Dollar,1.632764,2024-02-16 21:57:17.647917
35,Norwegian Krone,10.505588,2024-02-16 21:57:17.647917
36,Omani Rial,0.384979,2024-02-16 21:57:17.647917
37,Pakistani Rupee,279.377136,2024-02-16 21:57:17.647917
38,Philippine Peso,55.965277,2024-02-16 21:57:17.647917
39,Polish Zloty,4.027041,2024-02-16 21:57:17.647917
40,Qatari Riyal,3.640000,2024-02-16 21:57:17.647917
41,Romanian New Leu,4.618057,2024-02-16 21:57:17.647917
42,Russian Ruble,91.497733,2024-02-16 21:57:17.647917
43,Saudi Arabian Riyal,3.750000,2024-02-16 21:57:17.647917
44,South African Rand,18.889438,2024-02-16 21:57:17.647917
45,Sri Lankan Rupee,312.584854,2024-02-16 21:57:17.647917
46,Swedish Krona,10.443304,2024-02-16 21:57:17.647917
47,Taiwan New Dollar,31.345796,2024-02-16 21:57:17.647917
48,Thai Baht,35.980172,2024-02-16 21:57:17.647917
49,Trinidadian Dollar,6.781574,2024-02-16 21:57:17.647917
50,Turkish Lira,30.844011,2024-02-16 21:57:17.647917
51,Emirati Dirham,3.672500,2024-02-16 21:57:17.647917
52,Venezuelan Bolivar,3625775.790462,2024-02-16 21:57:17.647917
