,Currency,Rate,LOADINGDATA
0,US Dollar,1.0,2024-03-16 17:59:58.971887
1,Euro,0.918104,2024-03-16 17:59:58.971887
2,British Pound,0.785043,2024-03-16 17:59:58.971887
3,Indian Rupee,82.889300,2024-03-16 17:59:58.971887
4,Australian Dollar,1.524024,2024-03-16 17:59:58.971887
5,Canadian Dollar,1.353493,2024-03-16 17:59:58.971887
6,Singapore Dollar,1.337703,2024-03-16 17:59:58.971887
7,Swiss Franc,0.883922,2024-03-16 17:59:58.971887
8,Malaysian Ringgit,4.703584,2024-03-16 17:59:58.971887
9,Japanese Yen,149.040966,2024-03-16 17:59:58.971887
10,Chinese Yuan Renminbi,7.195341,2024-03-16 17:59:58.971887
11,Argentine Peso,850.500847,2024-03-16 17:59:58.971887
12,Bahraini Dinar,0.376000,2024-03-16 17:59:58.971887
13,Botswana Pula,13.623983,2024-03-16 17:59:58.971887
14,Brazilian Real,4.997186,2024-03-16 17:59:58.971887
15,Bruneian Dollar,1.337703,2024-03-16 17:59:58.971887
16,Bulgarian Lev,1.795656,2024-03-16 17:59:58.971887
17,Chilean Peso,944.393112,2024-03-16 17:59:58.971887
18,Colombian Peso,3876.311976,2024-03-16 17:59:58.971887
19,Czech Koruna,23.086962,2024-03-16 17:59:58.971887
20,Danish Krone,6.848581,2024-03-16 17:59:58.971887
21,Hong Kong Dollar,7.821670,2024-03-16 17:59:58.971887
22,Hungarian Forint,360.438793,2024-03-16 17:59:58.971887
23,Icelandic Krona,136.649671,2024-03-16 17:59:58.971887
24,Indonesian Rupiah,15593.834226,2024-03-16 17:59:58.971887
25,Iranian Rial,42002.598450,2024-03-16 17:59:58.971887
26,Israeli Shekel,3.674999,2024-03-16 17:59:58.971887
27,Kazakhstani Tenge,449.461715,2024-03-16 17:59:58.971887
28,South Korean Won,1331.312684,2024-03-16 17:59:58.971887
29,Kuwaiti Dinar,0.308402,2024-03-16 17:59:58.971887
30,Libyan Dinar,4.806232,2024-03-16 17:59:58.971887
31,Mauritian Rupee,45.979562,2024-03-16 17:59:58.971887
32,Mexican Peso,16.707246,2024-03-16 17:59:58.971887
33,Nepalese Rupee,132.685047,2024-03-16 17:59:58.971887
34,New Zealand Dollar,1.644158,2024-03-16 17:59:58.971887
35,Norwegian Krone,10.618928,2024-03-16 17:59:58.971887
36,Omani Rial,0.385102,2024-03-16 17:59:58.971887
37,Pakistani Rupee,278.698400,2024-03-16 17:59:58.971887
38,Philippine Peso,55.532383,2024-03-16 17:59:58.971887
39,Polish Zloty,3.947272,2024-03-16 17:59:58.971887
40,Qatari Riyal,3.640000,2024-03-16 17:59:58.971887
41,Romanian New Leu,4.565794,2024-03-16 17:59:58.971887
42,Russian Ruble,92.524529,2024-03-16 17:59:58.971887
43,Saudi Arabian Riyal,3.750000,2024-03-16 17:59:58.971887
44,South African Rand,18.744245,2024-03-16 17:59:58.971887
45,Sri Lankan Rupee,305.321385,2024-03-16 17:59:58.971887
46,Swedish Krona,10.361240,2024-03-16 17:59:58.971887
47,Taiwan New Dollar,31.658244,2024-03-16 17:59:58.971887
48,Thai Baht,35.901859,2024-03-16 17:59:58.971887
49,Trinidadian Dollar,6.782056,2024-03-16 17:59:58.971887
50,Turkish Lira,32.113814,2024-03-16 17:59:58.971887
51,Emirati Dirham,3.672500,2024-03-16 17:59:58.971887
52,Venezuelan Bolivar,3619108.518965,2024-03-16 17:59:58.971887
