,Currency,Rate,LOADINGDATA
0,US Dollar,1.0,2024-02-10 14:01:30.487824
1,Euro,0.927292,2024-02-10 14:01:30.487824
2,British Pound,0.791877,2024-02-10 14:01:30.487824
3,Indian Rupee,83.012755,2024-02-10 14:01:30.487824
4,Australian Dollar,1.532735,2024-02-10 14:01:30.487824
5,Canadian Dollar,1.346708,2024-02-10 14:01:30.487824
6,Singapore Dollar,1.346354,2024-02-10 14:01:30.487824
7,Swiss Franc,0.874993,2024-02-10 14:01:30.487824
8,Malaysian Ringgit,4.762779,2024-02-10 14:01:30.487824
9,Japanese Yen,149.303345,2024-02-10 14:01:30.487824
10,Chinese Yuan Renminbi,7.193587,2024-02-10 14:01:30.487824
11,Argentine Peso,830.688053,2024-02-10 14:01:30.487824
12,Bahraini Dinar,0.376000,2024-02-10 14:01:30.487824
13,Botswana Pula,13.701351,2024-02-10 14:01:30.487824
14,Brazilian Real,4.953437,2024-02-10 14:01:30.487824
15,Bruneian Dollar,1.346354,2024-02-10 14:01:30.487824
16,Bulgarian Lev,1.813626,2024-02-10 14:01:30.487824
17,Chilean Peso,970.620503,2024-02-10 14:01:30.487824
18,Colombian Peso,3925.845133,2024-02-10 14:01:30.487824
19,Czech Koruna,23.391717,2024-02-10 14:01:30.487824
20,Danish Krone,6.913954,2024-02-10 14:01:30.487824
21,Hong Kong Dollar,7.820017,2024-02-10 14:01:30.487824
22,Hungarian Forint,358.696580,2024-02-10 14:01:30.487824
23,Icelandic Krona,137.585782,2024-02-10 14:01:30.487824
24,Indonesian Rupiah,15625.480791,2024-02-10 14:01:30.487824
25,Iranian Rial,42011.783619,2024-02-10 14:01:30.487824
26,Israeli Shekel,3.672318,2024-02-10 14:01:30.487824
27,Kazakhstani Tenge,446.453153,2024-02-10 14:01:30.487824
28,South Korean Won,1330.200571,2024-02-10 14:01:30.487824
29,Kuwaiti Dinar,0.308726,2024-02-10 14:01:30.487824
30,Libyan Dinar,4.833204,2024-02-10 14:01:30.487824
31,Mauritian Rupee,45.581830,2024-02-10 14:01:30.487824
32,Mexican Peso,17.091950,2024-02-10 14:01:30.487824
33,Nepalese Rupee,132.882668,2024-02-10 14:01:30.487824
34,New Zealand Dollar,1.626517,2024-02-10 14:01:30.487824
35,Norwegian Krone,10.566928,2024-02-10 14:01:30.487824
36,Omani Rial,0.384990,2024-02-10 14:01:30.487824
37,Pakistani Rupee,279.355934,2024-02-10 14:01:30.487824
38,Philippine Peso,55.924599,2024-02-10 14:01:30.487824
39,Polish Zloty,4.011189,2024-02-10 14:01:30.487824
40,Qatari Riyal,3.640000,2024-02-10 14:01:30.487824
41,Romanian New Leu,4.615048,2024-02-10 14:01:30.487824
42,Russian Ruble,90.998731,2024-02-10 14:01:30.487824
43,Saudi Arabian Riyal,3.750000,2024-02-10 14:01:30.487824
44,South African Rand,19.035698,2024-02-10 14:01:30.487824
45,Sri Lankan Rupee,312.668322,2024-02-10 14:01:30.487824
46,Swedish Krona,10.472816,2024-02-10 14:01:30.487824
47,Taiwan New Dollar,31.400173,2024-02-10 14:01:30.487824
48,Thai Baht,35.889158,2024-02-10 14:01:30.487824
49,Trinidadian Dollar,6.786262,2024-02-10 14:01:30.487824
50,Turkish Lira,30.592600,2024-02-10 14:01:30.487824
51,Emirati Dirham,3.672500,2024-02-10 14:01:30.487824
52,Venezuelan Bolivar,3619306.438403,2024-02-10 14:01:30.487824
